id,user_id,day_id,week_number,completed_at
66142694-9301-41e5-99b7-d6fc1a0b290d,da425711-a45d-4dc8-8e5d-24cfc13df586,1,1,2026-07-13 01:01:35.355383+00
a07fcea8-9d55-412d-bf14-1b8e67ef8007,22821c12-28e6-4752-952d-ff6c199cc1b0,1,1,2026-07-14 00:28:59.603338+00
b6cf6d22-7b6e-4588-b6b0-72b2fe55dec7,fcc58ab2-9b87-40d1-b6d3-d6baa3ecf553,1,1,2026-07-14 02:34:35.62583+00
7d3c7340-ab21-443f-99b6-086e9d447d55,a6a33940-5955-4184-86a4-79029df54c28,1,1,2026-07-14 19:26:28.005438+00
622f7aa5-6713-484d-b518-1bbd734ca22f,ac2ee1e1-d159-4ad4-95b1-0964fa0509d5,1,1,2026-07-14 20:24:56.251804+00
5f79d5d1-84dd-43e0-a2a1-a0e5d76e2ee4,b033bea5-4c24-4db3-8044-b006504a23b6,2,1,2026-07-16 18:38:08.350925+00
5a0c2973-41b0-4041-b3e0-c142896b1338,282a31a2-a8f8-4b50-8632-e02176e3a978,2,1,2026-07-16 22:45:48.236894+00
91648b5c-4269-4b76-92e8-f580992278e8,22821c12-28e6-4752-952d-ff6c199cc1b0,3,1,2026-07-16 23:15:33.424331+00
e6eacfdc-8686-44c5-abce-1ac0e90dfb4c,22821c12-28e6-4752-952d-ff6c199cc1b0,4,1,2026-07-16 23:17:00.199559+00
04c34c5f-8088-40c9-a932-8c6ab6a3a6e2,22821c12-28e6-4752-952d-ff6c199cc1b0,5,1,2026-07-16 23:18:48.815092+00
9a454bc3-bf85-440d-a89d-a98aa7f74ad4,282a31a2-a8f8-4b50-8632-e02176e3a978,3,1,2026-07-17 00:53:32.863101+00
d66ca29e-bc05-460c-bb0d-f25fe1505faf,b033bea5-4c24-4db3-8044-b006504a23b6,3,1,2026-07-17 00:58:42.783495+00
67bf6f10-c800-4b2e-bfcd-6fa1438fde46,fcc58ab2-9b87-40d1-b6d3-d6baa3ecf553,2,1,2026-07-17 16:40:54.075109+00
ef925491-bc38-44cf-aed2-df1d86be4d6f,ac2ee1e1-d159-4ad4-95b1-0964fa0509d5,2,1,2026-07-17 18:28:21.300484+00
8fdfb2db-18df-4dfe-b0f5-de4cf1e68108,b033bea5-4c24-4db3-8044-b006504a23b6,4,1,2026-07-18 03:00:03.232416+00
